Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-9824446,Viral Infection Pathways,,-21,5,13,30244,767,407,52,13,1.7,161|811|857|1213|3066|3276|3320|3339|3615|3654|3836|3839|3921|4686|4927|5437|5478|5479|5684|5700|5704|5905|5931|6185|6192|6218|6224|6396|6632|6829|7280|7415|7514|7529|7531|7532|7846|8065|9631|9632|10155|10382|10427|10484|10802|23367|25929|55746|64398|84617|347733|375790,AP2A2|CALR|CAV1|CLTC|HDAC2|PRMT1|HSP90AA1|HSPG2|IMPDH2|IRAK1|KPNA1|KPNA3|RPSA|NCBP1|NUP88|POLR2H|PPIA|PPIB|PSMA3|PSMC1|PSMC4|RANGAP1|RBBP7|RPN2|RPS4Y1|RPS17|RPS20|SEC13|SNRPD1|SUPT5H|TUBB2A|VCP|XPO1|YWHAB|YWHAE|YWHAG|TUBA1A|CUL5|NUP155|SEC24C|TRIM28|TUBB4A|SEC24B|SEC23A|SEC24A|LARP1|GEMIN5|NUP133|PALS1|TUBB6|TUBB2B|AGRN,-19
MyList,GO Biological Processes,19,GO:0006413,translational initiation,19_GO:0008152 metabolic process,-21,22,20,30244,68,407,20,4.9,1.1,1654|1968|1974|1981|3646|4686|6218|8661|8662|8663|8664|8665|8667|8668|8890|8891|10480|23367|27335|51386,DDX3X|EIF2S3|EIF4A2|EIF4G1|EIF3E|NCBP1|RPS17|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|EIF3M|LARP1|EIF3K|EIF3L,-18
MyList,Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-21,5.2,13,30244,716,407,50,12,1.6,1974|1981|2058|3921|4686|4848|4849|4927|5437|5518|5684|5700|5704|5976|6192|6218|6224|6396|6418|6629|6632|6829|7514|7529|7536|8125|8570|9125|9337|9582|9631|10419|11052|23019|23517|25926|25929|26168|51340|55110|55571|55746|79084|81887|84248|85313|85456|96764|220988|246175,EIF4A2|EIF4G1|EPRS1|RPSA|NCBP1|CNOT2|CNOT3|NUP88|POLR2H|PPP2R1A|PSMA3|PSMC1|PSMC4|UPF1|RPS4Y1|RPS17|RPS20|SEC13|SET|SNRPB2|SNRPD1|SUPT5H|XPO1|YWHAB|SF1|ANP32A|KHSRP|CNOT9|CNOT8|APOBEC3B|NUP155|PRMT5|CPSF6|CNOT1|MTREX|NOL11|GEMIN5|SENP3|CRNKL1|MAGOHB|CNOT11|NUP133|WDR77|LAS1L|FYTTD1|PPIL4|TNKS1BP1|TGS1|HNRNPA3|CNOT6L,-18
MyList,CORUM,33,CORUM:3040,Multisynthetase complex,,-21,74,28,30244,11,407,11,2.7,0.8,1615|2058|3376|3735|4141|5859|5917|7965|9255|9521|51520,DARS1|EPRS1|IARS1|KARS1|MARS1|QARS1|RARS1|AIMP2|AIMP1|EEF1E1|LARS1,-18
MyList,Reactome Gene Sets,6,R-HSA-72649,Translation initiation complex formation,,-19,23,19,30244,59,407,18,4.4,1,1968|1974|1981|3646|3921|6192|6218|6224|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF2S3|EIF4A2|EIF4G1|EIF3E|RPSA|RPS4Y1|RPS17|RPS20|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-17
MyList,Reactome Gene Sets,6,R-HSA-72702,Ribosomal scanning and start codon recognition,,-19,23,19,30244,59,407,18,4.4,1,1968|1974|1981|3646|3921|6192|6218|6224|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF2S3|EIF4A2|EIF4G1|EIF3E|RPSA|RPS4Y1|RPS17|RPS20|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-17
MyList,Reactome Gene Sets,6,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",,-19,22,19,30244,60,407,18,4.4,1,1968|1974|1981|3646|3921|6192|6218|6224|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF2S3|EIF4A2|EIF4G1|EIF3E|RPSA|RPS4Y1|RPS17|RPS20|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-17
MyList,Reactome Gene Sets,6,R-HSA-379724,tRNA Aminoacylation,,-19,28,21,30244,42,407,16,3.9,0.96,1615|2058|2617|3035|3376|3735|4141|4677|5859|5917|6897|7965|9255|9521|51520|80222,DARS1|EPRS1|GARS1|HARS1|IARS1|KARS1|MARS1|NARS1|QARS1|RARS1|TARS1|AIMP2|AIMP1|EEF1E1|LARS1|TARS2,-17
MyList,CORUM,33,CORUM:1097,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)",,-19,63,26,30244,13,407,11,2.7,0.8,3646|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF3E|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-16
MyList,GO Biological Processes,19,GO:0006417,regulation of translation,19_GO:0008152 metabolic process,-19,5.7,13,30244,531,407,41,10,1.5,351|811|1654|1974|1981|2058|3276|3646|4076|4686|4848|4849|5813|5976|7057|7072|7431|8518|8570|8662|8663|8664|8667|8890|9125|9337|10399|23019|23107|23185|23191|23367|25929|26058|27335|55037|55571|57472|85456|192669|246175,APP|CALR|DDX3X|EIF4A2|EIF4G1|EPRS1|PRMT1|EIF3E|CAPRIN1|NCBP1|CNOT2|CNOT3|PURA|UPF1|THBS1|TIA1|VIM|ELP1|KHSRP|EIF3B|EIF3C|EIF3D|EIF3H|EIF2B4|CNOT9|CNOT8|RACK1|CNOT1|MRPS27|LARP4B|CYFIP1|LARP1|GEMIN5|GIGYF2|EIF3K|PTCD3|CNOT11|CNOT6|TNKS1BP1|AGO3|CNOT6L,-16
MyList,GO Biological Processes,19,GO:0071826,protein-RNA complex organization,19_GO:0009987 cellular process,-19,9,15,30244,239,407,29,7.1,1.3,1968|3320|3646|3921|4686|6629|6632|7415|7536|8607|8661|8662|8663|8664|8665|8667|8668|9733|10419|10480|11052|22907|25929|27335|51340|51386|79084|96764|192669,EIF2S3|HSP90AA1|EIF3E|RPSA|NCBP1|SNRPB2|SNRPD1|VCP|SF1|RUVBL1|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|SART3|PRMT5|EIF3M|CPSF6|DHX30|GEMIN5|EIF3K|CRNKL1|EIF3L|WDR77|TGS1|AGO3,-16
MyList,GO Biological Processes,19,GO:0022618,protein-RNA complex assembly,19_GO:0009987 cellular process,-18,9,14,30244,231,407,28,6.9,1.3,1968|3320|3646|3921|4686|6629|6632|7536|8607|8661|8662|8663|8664|8665|8667|8668|9733|10419|10480|11052|22907|25929|27335|51340|51386|79084|96764|192669,EIF2S3|HSP90AA1|EIF3E|RPSA|NCBP1|SNRPB2|SNRPD1|SF1|RUVBL1|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|SART3|PRMT5|EIF3M|CPSF6|DHX30|GEMIN5|EIF3K|CRNKL1|EIF3L|WDR77|TGS1|AGO3,-16
MyList,Reactome Gene Sets,6,R-HSA-2262752,Cellular responses to stress,,-18,4.5,12,30244,788,407,48,12,1.6,811|829|830|832|1460|1968|2673|3301|3310|3320|3490|3921|4927|5034|5684|5700|5704|5931|6117|6118|6192|6218|6224|6396|6737|7094|7184|7280|7296|7415|7514|7531|7846|8570|8878|8994|9530|9631|10121|10130|10382|22872|55746|84617|84962|96764|192669|347733,CALR|CAPZA1|CAPZA2|CAPZB|CSNK2B|EIF2S3|GFPT1|DNAJA1|HSPA6|HSP90AA1|IGFBP7|RPSA|NUP88|P4HB|PSMA3|PSMC1|PSMC4|RBBP7|RPA1|RPA2|RPS4Y1|RPS17|RPS20|SEC13|TRIM21|TLN1|HSP90B1|TUBB2A|TXNRD1|VCP|XPO1|YWHAE|TUBA1A|KHSRP|SQSTM1|LIMD1|BAG4|NUP155|ACTR1A|PDIA6|TUBB4A|SEC31A|NUP133|TUBB6|AJUBA|TGS1|AGO3|TUBB2B,-15
MyList,WikiPathways,27,WP3888,VEGFA-VEGFR2 signaling,,-17,6.2,13,30244,432,407,36,8.8,1.4,31|811|813|824|832|857|1213|1267|1397|1495|1499|1981|2058|2060|3301|3320|3490|4313|4673|5034|5230|5747|5784|6418|6748|7531|8411|8664|8665|8667|9100|10130|10399|22820|23196|26058,ACACA|CALR|CALU|CAPN2|CAPZB|CAV1|CLTC|CNP|CRIP2|CTNNA1|CTNNB1|EIF4G1|EPRS1|EPS15|DNAJA1|HSP90AA1|IGFBP7|MMP2|NAP1L1|P4HB|PGK1|PTK2|PTPN14|SET|SSR4|YWHAE|EEA1|EIF3D|EIF3F|EIF3H|USP10|PDIA6|RACK1|COPG1|FAM120A|GIGYF2,-15
MyList,Reactome Gene Sets,6,R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",,-17,23,18,30244,52,407,16,3.9,0.96,1968|3646|3921|6192|6218|6224|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF2S3|EIF3E|RPSA|RPS4Y1|RPS17|RPS20|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-15
MyList,GO Biological Processes,19,GO:0001732,formation of cytoplasmic translation initiation complex,19_GO:0008152 metabolic process,-17,51,23,30244,16,407,11,2.7,0.8,3646|8661|8662|8663|8664|8665|8667|8668|10480|27335|51386,EIF3E|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3M|EIF3K|EIF3L,-15
MyList,CORUM,33,CORUM:742,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)",,-17,62,25,30244,12,407,10,2.5,0.77,3646|8661|8662|8663|8664|8665|8667|8668|27335|51386,EIF3E|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF3K|EIF3L,-15
MyList,GO Biological Processes,19,GO:0034248,regulation of amide metabolic process,19_GO:0008152 metabolic process,-17,5.1,12,30244,595,407,41,10,1.5,351|811|1654|1974|1981|2058|3276|3646|4076|4686|4848|4849|5813|5976|7057|7072|7431|8518|8570|8662|8663|8664|8667|8890|9125|9337|10399|23019|23107|23185|23191|23367|25929|26058|27335|55037|55571|57472|85456|192669|246175,APP|CALR|DDX3X|EIF4A2|EIF4G1|EPRS1|PRMT1|EIF3E|CAPRIN1|NCBP1|CNOT2|CNOT3|PURA|UPF1|THBS1|TIA1|VIM|ELP1|KHSRP|EIF3B|EIF3C|EIF3D|EIF3H|EIF2B4|CNOT9|CNOT8|RACK1|CNOT1|MRPS27|LARP4B|CYFIP1|LARP1|GEMIN5|GIGYF2|EIF3K|PTCD3|CNOT11|CNOT6|TNKS1BP1|AGO3|CNOT6L,-15
MyList,GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-17,5.6,12,30244,488,407,37,9.1,1.4,1654|1968|3320|3646|3921|4686|4927|6218|6629|6632|7514|7536|8607|8661|8662|8663|8664|8665|8667|8668|9733|10419|10480|11052|22907|23517|25926|25929|27335|51340|51386|55661|65080|79084|81887|96764|192669,DDX3X|EIF2S3|HSP90AA1|EIF3E|RPSA|NCBP1|NUP88|RPS17|SNRPB2|SNRPD1|XPO1|SF1|RUVBL1|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|SART3|PRMT5|EIF3M|CPSF6|DHX30|MTREX|NOL11|GEMIN5|EIF3K|CRNKL1|EIF3L|DDX27|MRPL44|WDR77|LAS1L|TGS1|AGO3,-14
MyList,GO Biological Processes,19,GO:0032543,mitochondrial translation,19_GO:0008152 metabolic process,-16,14,15,30244,110,407,20,4.9,1.1,2617|3035|9801|10573|23107|29074|51069|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545,GARS1|HARS1|MRPL19|MRPL28|MRPS27|MRPL18|MRPL2|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43,-14
