ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0005681	spliceosomal complex	8/33	208/19894	1.38440691128662e-09	2.76881382257325e-08	1.60299747622662e-08	HNRNPH3/PNN/PRPF19/TFIP11/SNW1/AKAP17A/AQR/RBM8A	8
CC	GO:1904949	ATPase complex	7/33	149/19894	4.16394556868405e-09	6.93990928114008e-08	4.01784221539689e-08	SMARCC2/CHD4/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	7
CC	GO:0035060	brahma complex	4/33	14/19894	6.20518882740614e-09	7.75648603425767e-08	4.49059717772813e-08	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
CC	GO:0071564	npBAF complex	4/33	14/19894	6.20518882740614e-09	7.75648603425767e-08	4.49059717772813e-08	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
CC	GO:0071013	catalytic step 2 spliceosome	6/33	91/19894	7.7718192500927e-09	8.45175204076517e-08	4.89311960254825e-08	PNN/PRPF19/TFIP11/SNW1/AQR/RBM8A	6
CC	GO:0016586	RSC-type complex	4/33	15/19894	8.45175204076517e-09	8.45175204076517e-08	4.89311960254825e-08	SMARCC2/PBRM1/SMARCB1/SMARCE1	4
CC	GO:0071565	nBAF complex	4/33	16/19894	1.12558593767213e-08	1.0232599433383e-07	5.92413651406383e-08	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
CC	GO:0005684	U2-type spliceosomal complex	5/33	95/19894	4.7668765004665e-07	3.97239708372208e-06	2.29980883794436e-06	PRPF19/TFIP11/SNW1/AQR/RBM8A	5
CC	GO:0000228	nuclear chromosome	6/33	226/19894	1.72374899829702e-06	1.32596076792079e-05	7.67661497217298e-06	PRPF19/PBRM1/RCC1/SMARCA5/SMARCB1/SMARCE1	6
CC	GO:0016363	nuclear matrix	5/33	128/19894	2.09385596293471e-06	1.49561140209622e-05	8.65880285424128e-06	SMARCC2/PBRM1/SNW1/SMARCB1/SMARCE1	5
CC	GO:0098687	chromosomal region	7/33	402/19894	3.54365951516179e-06	2.36243967677453e-05	1.36772823392209e-05	TFIP11/SMARCC2/CHD4/PBRM1/SMARCA5/SMARCB1/SMARCE1	7
CC	GO:0034399	nuclear periphery	5/33	150/19894	4.56259092202707e-06	2.73543841686409e-05	1.58367487292132e-05	SMARCC2/PBRM1/SNW1/SMARCB1/SMARCE1	5
CC	GO:0035145	exon-exon junction complex	3/33	20/19894	4.65024530866895e-06	2.73543841686409e-05	1.58367487292132e-05	PNN/RNPS1/RBM8A	3
CC	GO:0000793	condensed chromosome	6/33	281/19894	6.05126626893063e-06	3.36181459385035e-05	1.94631371222915e-05	SMARCC2/PBRM1/RCC1/SMARCA5/SMARCB1/SMARCE1	6
CC	GO:0071007	U2-type catalytic step 2 spliceosome	3/33	30/19894	1.63751559283872e-05	8.61850312020381e-05	4.98965970117062e-05	PRPF19/SNW1/AQR	3
CC	GO:0000775	chromosome, centromeric region	5/33	257/19894	6.10985372535406e-05	0.000305492686267703	0.000176864186786565	SMARCC2/PBRM1/SMARCA5/SMARCB1/SMARCE1	5
CC	GO:0000776	kinetochore	4/33	170/19894	0.000173561982698087	0.00075778338723815	0.000438716697874718	SMARCC2/PBRM1/SMARCB1/SMARCE1	4
CC	GO:0071006	U2-type catalytic step 1 spliceosome	2/33	12/19894	0.000174290179064775	0.00075778338723815	0.000438716697874718	PRPF19/RBM8A	2
CC	GO:0071012	catalytic step 1 spliceosome	2/33	12/19894	0.000174290179064775	0.00075778338723815	0.000438716697874718	PRPF19/RBM8A	2
CC	GO:0000779	condensed chromosome, centromeric region	4/33	181/19894	0.000220673346693882	0.000919472277891173	0.000532326055621206	SMARCC2/PBRM1/SMARCB1/SMARCE1	4
CC	GO:0090734	site of DNA damage	3/33	123/19894	0.00109892395097977	0.00439569580391908	0.00254487651805842	PRPF19/CHD4/SMARCA5	3
CC	GO:0043596	nuclear replication fork	2/33	41/19894	0.00210126210732312	0.00808177733585815	0.00467892372075998	PRPF19/SMARCA5	2
CC	GO:0005657	replication fork	2/33	74/19894	0.00668913772283585	0.0247745841586513	0.0143431803023771	PRPF19/SMARCA5	2
CC	GO:0035861	site of double-strand break	2/33	91/19894	0.00996512636521864	0.035589737018638	0.0206045845897378	PRPF19/SMARCA5	2
MF	GO:0031491	nucleosome binding	7/32	96/18522	2.43611643006439e-10	2.2168659513586e-08	1.48731318888142e-08	SMARCC2/CHD4/ARID1A/RCC1/SMARCA5/SMARCB1/SMARCE1	7
MF	GO:0031492	nucleosomal DNA binding	5/32	66/18522	9.20346705252904e-08	4.18757750890072e-06	2.80947941603518e-06	SMARCC2/CHD4/RCC1/SMARCB1/SMARCE1	5
MF	GO:0031490	chromatin DNA binding	6/32	146/18522	1.65590944527214e-07	5.0229253173255e-06	3.36992097634331e-06	SMARCC2/CHD4/NKAP/RCC1/SMARCB1/SMARCE1	6
MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	7/32	343/18522	1.58757864585515e-06	3.61174141932046e-05	2.42314635419996e-05	GTF2I/CHD4/SNW1/ARID1A/PDCD11/SMARCB1/SMARCE1	7
MF	GO:0140297	DNA-binding transcription factor binding	7/32	478/18522	1.40333607614426e-05	0.000255407165858255	0.000171354720876562	GTF2I/CHD4/SNW1/ARID1A/PDCD11/SMARCB1/SMARCE1	7
MF	GO:0003713	transcription coactivator activity	5/32	271/18522	9.41638997934307e-05	0.00142815248020037	0.000958158980354207	SMARCC2/SNW1/ARID1A/SMARCB1/SMARCE1	5
MF	GO:0003727	single-stranded RNA binding	3/32	87/18522	0.000449902737259182	0.00584873558436937	0.00392396372346354	PTBP1/HNRNPDL/AQR	3
MF	GO:0042393	histone binding	4/32	252/18522	0.000891612426553617	0.0101420913520474	0.00680441062369865	SMARCC2/CHD4/RCC1/SMARCA5	4
MF	GO:0042826	histone deacetylase binding	3/32	128/18522	0.00138108933729006	0.0139643477437106	0.00936879316524248	HNRNPD/CHD4/CIR1	3
MF	GO:0016922	nuclear receptor binding	3/32	136/18522	0.00164343188261256	0.014528442584335	0.0097472489287615	SNW1/ARID1A/SMARCE1	3
MF	GO:0140658	ATP-dependent chromatin remodeler activity	2/32	36/18522	0.0017561853673372	0.014528442584335	0.0097472489287615	CHD4/SMARCA5	2
MF	GO:0004386	helicase activity	3/32	154/18522	0.00234256850244724	0.0177644778102249	0.0119183309773631	CHD4/AQR/SMARCA5	3
MF	GO:0003714	transcription corepressor activity	3/32	198/18522	0.0047502430879361	0.0332517016155527	0.0223088339352465	CHD4/SNW1/CIR1	3
MF	GO:0016887	ATP hydrolysis activity	4/32	417/18522	0.00553054921573782	0.0359485699022958	0.0241181845498341	ACIN1/CHD4/AQR/SMARCA5	4
