Accession	Description	Gene Symbol	Abundance_811269 	Abundance_811270 	Abundance_811271 	cytoplasm	nucleus
P35221	Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	CTNNA1	5.12455	7.60002	5.32598	2.47546	0.201425
P35555	Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	FBN1	4.45741	7.47443	4.22403	3.01702	-0.233378
A0A1W2PQ51	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=1	DDX17	6.16383	6.66035	6.73262	0.49652	0.568792
P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	P4HB	4.94822	7.6028	5.76435	2.65458	0.816125
P62753	40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1	RPS6	6.63425	7.35413	5.89292	0.719877	-0.741335
Q14192	Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3	FHL2	6.50292	7.71928	5.19841	1.21636	-1.30452
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	HNRNPA2B1	5.74718	6.16219	7.42701	0.415007	1.67983
O00159	Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4	MYO1C	5.70061	7.23968	6.44892	1.53907	0.748309
P62269	40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3	RPS18	6.56318	7.21853	6.03919	0.655356	-0.523984
Q14152	Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	EIF3A	5.19988	7.60374	5.90653	2.40385	0.706648
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	PKM	5.836	7.40635	7.4791	1.57035	1.6431
O00468	Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6		5.07821	7.31498	5.00916	2.23676	-0.0690591
P55795	Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1	HNRNPH2	3.96238	5.83961	5.45975	1.87723	1.49737
J3KTA4	Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	DDX5	5.48793	5.39014	6.28418	-0.0977958	0.796251
P21980	Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2	TGM2	5.87215	7.10113	5.77037	1.22898	-0.10178
E9PQD7	40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1		6.43388	7.57712	6.17026	1.14324	-0.263618
P46781	40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3	RPS9	6.65048	7.82338	6.63837	1.1729	-0.0121096
P30050	60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1	RPL12	6.61453	6.83952	6.40925	0.224992	-0.20528
A0A494C0G5	Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=1		3	5.42778	3	2.42778	0
P17066	Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2	HSPA6	3	5.03788	3.97724	2.03788	0.977236
P17987	T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1	TCP1	5.0174	7.25858	6.44428	2.24118	1.42687
P26639	Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3	TARS	4.33172	7.66311	6.32732	3.33138	1.9956
P62851	40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1	RPS25	6.48287	7.05461	6.04192	0.571739	-0.440942
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	HSPD1	5.61465	7.27743	6.05635	1.66278	0.4417
P11388	DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3	TOP2A	6.0427	5.80386	6.84814	-0.238838	0.80544
B7Z6Z4	Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1	MYL6	6.13399	7.06224	5.35009	0.928247	-0.783906
O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	DHX15	5.92271	6.83859	6.92281	0.915883	1.0001
P49756	RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3	RBM25	5.30766	6.43304	7.10393	1.12538	1.79627
P49368	T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4	CCT3	5.25371	7.19925	6.4109	1.94554	1.15719
P62979	Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2	RPS27A	5.80869	7.40738	6.9361	1.59869	1.12741
Q15029	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	EFTUD2	5.33378	6.49956	6.88149	1.16578	1.54772
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	FLNB	5.13234	6.57452	5.13177	1.44218	-0.000565595
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	MSN	6.37853	7.38437	5.64376	1.00585	-0.734769
Q13162	Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1	PRDX4	5.11984	7.57989	6.16865	2.46005	1.04881
Q00325	Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2	SLC25A3	6.23686	7.45569	5.98457	1.21883	-0.252296
Q14498	RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2	RBM39	6.3824	6.45052	7.00248	0.0681137	0.620075
Q9Y265	RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1	RUVBL1	5.25553	7.42903	6.13498	2.17351	0.879448
Q9Y230	RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3	RUVBL2	5.77148	7.48628	6.17512	1.7148	0.403643
Q9NYU2	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3	UGGT1	4.14075	7.35035	5.70208	3.2096	1.56132
Q9NS15	Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens OX=9606 GN=LTBP3 PE=1 SV=4	LTBP3	3.42949	7.32352	5.81289	3.89403	2.3834
O75533	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	SF3B1	6.08674	6.60846	6.74219	0.521716	0.655454
P39023	60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2	RPL3	6.412	7.13458	6.16931	0.722582	-0.242693
Q13155	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2	AIMP2	4.94636	7.82856	4.46392	2.8822	-0.482432
P52597	Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3	HNRNPF	5.23877	7.02621	6.38951	1.78744	1.15074
Q04721	Neurogenic locus notch homolog protein 2 OS=Homo sapiens OX=9606 GN=NOTCH2 PE=1 SV=3	NOTCH2	4.93656	7.1469	5.48655	2.21034	0.549992
P62701	40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2	RPS4X	6.50202	7.23815	6.35996	0.73613	-0.142058
H7BZB3	CAD protein (Fragment) OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=8		3	5.10582	3	2.10582	0
