ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa00230	Purine metabolism	42/1804	128/8841	0.000629032975651571	0.014953368263229	0.0117706711132069	108/109/113/114/204/271/272/471/1716/2272/2618/2766/2977/4860/4907/5136/5137/5139/5142/5151/5167/5236/5471/5631/6240/7498/8833/9061/9583/10606/10846/27115/29922/50940/53343/55821/56985/84284/93034/122481/131870/377841	42
hsa04728	Dopaminergic synapse	43/1804	132/8841	0.000646496004935351	0.014953368263229	0.0117706711132069	406/775/801/805/815/816/1385/1386/1644/1814/2774/2776/2778/2786/2787/2788/2792/2890/2893/2903/2904/2932/3708/3709/3765/5523/5525/5526/5529/5530/5567/5578/5602/9586/10000/10681/23236/54331/55844/55970/59345/64764/163688	43
hsa04971	Gastric acid secretion	28/1804	76/8841	0.00065777279750274	0.014953368263229	0.0117706711132069	108/109/113/114/477/481/760/801/805/815/816/887/1131/2776/2778/3708/3709/3759/3772/3773/3776/4638/5567/5578/23236/115111/163688/389015	28
hsa04014	Ras signaling pathway	69/1804	238/8841	0.000874716292958323	0.0169549879034147	0.0133462630509979	284/356/598/627/801/805/1946/1956/2113/2114/2246/2250/2263/2786/2787/2788/2792/2885/2903/2904/3082/3363/3479/3480/3551/3791/3815/3845/4233/4301/4790/4908/4914/4915/5290/5295/5321/5335/5567/5578/5602/5894/5921/5922/6464/7010/7074/7424/8036/8823/8844/10000/10156/10681/10928/22800/22808/26281/27040/51196/54331/55970/57186/59345/80310/163688/253959/283455/399694	69
hsa05163	Human cytomegalovirus infection	66/1804	226/8841	0.00090954744036858	0.0169549879034147	0.0133462630509979	108/109/113/114/355/356/801/805/841/1232/1385/1386/1871/1956/2768/2776/2778/2786/2787/2788/2792/2885/2932/3439/3551/3553/3554/3569/3576/3685/3690/3708/3709/3716/3845/4609/4790/4792/5290/5295/5530/5567/5578/5608/5733/5734/5747/5894/6009/6093/8772/9138/9564/9586/10000/10672/10681/11214/23236/23365/54205/54331/55970/59345/64764/163688	66
hsa00512	Mucin type O-glycan biosynthesis	16/1804	36/8841	0.000944480817958592	0.0169549879034147	0.0133462630509979	2591/2650/6482/6483/9334/11227/29071/51301/55568/56913/57452/79623/79695/117248/374378/442117	16
hsa04928	Parathyroid hormone synthesis, secretion and action	38/1804	115/8841	0.000962418381296583	0.0169549879034147	0.0133462630509979	108/109/113/114/860/1385/1386/1591/1956/2625/2768/2776/2778/3708/3709/4205/4208/4325/4326/4929/5142/5567/5578/5744/5894/6256/6258/8521/9138/9586/9935/10568/10672/11214/23236/27347/50964/64764	38
hsa04310	Wnt signaling pathway	53/1804	174/8841	0.000994427443015527	0.0169549879034147	0.0133462630509979	815/816/1501/2239/2535/2932/4163/4609/4919/5530/5567/5578/5602/6422/6425/6477/6885/6934/7088/7090/7091/7472/7474/7479/7482/7855/8325/8454/8549/8607/8840/9978/23002/23236/27123/27130/50964/51384/51701/54894/55366/56998/59343/64321/79718/80319/83439/84870/90665/144165/166336/283106/340419	53
hsa04820	Cytoskeleton in muscle cells	67/1804	232/8841	0.00115337675317759	0.0187286415635028	0.014742409627082	70/271/272/287/288/477/481/832/1282/1290/1293/1297/1298/1301/1466/1634/1729/1730/1829/2199/2200/2201/2273/2274/3685/3688/3690/3694/3908/3930/4000/4001/4633/4811/6382/6383/6443/6444/6641/6711/6712/7058/7135/7791/8082/8572/8735/9124/10611/11155/22795/23002/23345/26287/29766/79188/81624/83660/84665/93661/114793/129446/161176/171024/255631/284217/442721	67
hsa04911	Insulin secretion	30/1804	86/8841	0.00121309412014039	0.018802958862176	0.0148009091213301	108/109/113/114/116/477/481/775/815/816/1131/1385/1386/2641/2776/2778/3767/3778/3781/5567/5578/6262/6513/9586/9699/11069/23236/27445/64764/157855	30
hsa04550	Signaling pathways regulating pluripotency of stem cells	45/1804	144/8841	0.00130545285967909	0.0193547576152421	0.0152352622067811	90/92/463/657/658/659/2263/2535/2885/2932/3175/3398/3400/3479/3480/3624/3625/3716/3720/3845/3977/4211/4609/5080/5290/5295/5462/5894/6657/6926/7472/7474/7479/7482/7855/8325/9314/10000/10637/51384/55183/79923/80712/84333/130399	45
hsa05032	Morphine addiction	31/1804	91/8841	0.00157542695527046	0.0223841913228011	0.0176199067365775	108/109/113/114/2556/2564/2566/2570/2778/2786/2787/2788/2792/3765/5136/5137/5139/5142/5151/5567/5578/10681/10846/27115/50940/54331/55879/55970/59345/140679/200959	31
hsa04924	Renin secretion	25/1804	69/8841	0.00164836940491471	0.0224837586830366	0.0176982820317158	116/154/185/358/775/801/805/1385/1907/2776/2778/2977/3708/3709/3759/3778/5136/5137/5139/5530/5567/5734/9635/23236/163688	25
hsa04724	Glutamatergic synapse	37/1804	115/8841	0.00191449104490435	0.0251092863966301	0.0197649885202676	108/109/113/114/775/2744/2776/2778/2786/2787/2788/2792/2890/2893/2897/2900/2903/2904/2911/2913/3708/3709/5321/5530/5567/5578/6507/7220/9229/9455/10681/22941/23236/54331/55970/59345/116443	37
hsa00270	Cysteine and methionine metabolism	20/1804	52/8841	0.00206204065913228	0.0260428098060781	0.0204998194182742	262/586/1491/1786/1788/2729/2805/2806/3939/3945/4507/4548/6898/27430/29968/51074/55256/64902/92483/113675	20
hsa04720	Long-term potentiation	24/1804	67/8841	0.00241445876504025	0.0294046585313831	0.0231461272588445	114/775/801/805/814/815/816/2776/2890/2903/2904/2911/3708/3709/3845/5502/5530/5567/5578/5894/6196/6197/23236/163688	24
hsa04068	FoxO signaling pathway	41/1804	133/8841	0.0027697135413775	0.0325680109520596	0.025636187043603	356/847/901/1647/1901/1956/2885/2911/3479/3480/3551/3569/3575/3586/3845/5290/5295/5563/5602/5728/5894/5897/5934/6502/7042/7048/7874/8660/8743/9455/10000/10110/10912/11067/23710/26260/51422/51701/80854/114907/116986	41
hsa04925	Aldosterone synthesis and secretion	32/1804	98/8841	0.0028920329778253	0.0328727748479476	0.0258760845384369	108/109/113/114/185/477/481/491/775/801/805/814/815/816/1385/1386/2776/2778/3708/3709/4158/4929/5567/5578/5581/5587/9586/23236/51305/57172/64764/163688	32
hsa04010	MAPK signaling pathway	81/1804	300/8841	0.00315544553544369	0.0347099008898806	0.0273221939401746	284/355/356/627/775/777/785/1386/1647/1843/1846/1847/1848/1946/1956/2066/2069/2122/2246/2250/2263/2668/2768/2885/3082/3479/3480/3551/3553/3554/3556/3791/3815/3845/4208/4216/4233/4293/4609/4790/4908/4914/4915/5321/5494/5530/5567/5578/5602/5606/5608/5801/5894/5921/5922/6196/6197/6788/6885/7010/7042/7048/7424/7867/8823/9175/9252/9448/9693/10000/10912/11221/22800/22808/26281/51347/51701/55970/59283/80310/84451	81
hsa00514	Other types of O-glycan biosynthesis	18/1804	47/8841	0.00357846845761668	0.0381330545014777	0.0300167584438241	2591/2683/11227/23127/29071/55568/56913/57452/79623/79695/84620/117248/152002/283464/285203/374378/442117/727936	18
hsa04727	GABAergic synapse	29/1804	89/8841	0.00459298663240189	0.0474608618681529	0.0373592214118814	108/109/113/114/775/2556/2564/2566/2570/2744/2786/2787/2788/2792/5334/5567/5578/6538/6539/9001/10681/23710/54331/55879/55970/59345/92745/140679/200959	29
hsa04916	Melanogenesis	32/1804	101/8841	0.00486356900926601	0.0487787362399915	0.0383965974415738	108/109/113/114/801/805/815/816/1385/1638/2535/2776/2778/2932/3815/3845/4286/5567/5578/5894/6934/7472/7474/7479/7482/7855/8325/23236/51384/64764/83439/163688	32
